,Root,0,1,79.000000_278.000000_,,,,
Root,AtkMove,5,1,478.000000_-138.000000_,1_2_,14_9_,,
AtkMove,Attack,0,1,679.000000_-106.000000_,4_7_,0_,,
Attack,Rideon,0,0,928.000000_-80.000000_,6_,13_,,
Root,FovIn,4,1,258.000000_-44.000000_,2_5_,,,
FovIn,AddCounter,1,1,798.000000_136.000000_,3_,7_6_,,
AddCounter,FInd,0,0,985.000000_197.000000_,11_,6_,,
FovIn,OutSeffer,0,0,813.000000_311.000000_,1_,6_11_14_,,
Root,MoveTo,3,1,357.000000_192.000000_,9_,,,
MoveTo,LowSpeed,1,0,565.000000_238.000000_,1_,9_,,
MoveTo,HighSpeed,0,0,571.000000_410.000000_,,9_,,
Root,Sound,2,0,357.000000_319.000000_,0_,1_6_,,
Root,LookLost,1,1,440.000000_514.000000_,1_,12_,,
LookLost,Lost,0,0,638.000000_536.000000_,10_,10_6_,,
Root,Rol,0,0,287.000000_522.000000_,,2_3_8_,,
